"diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
1.060,,0.074,,,,,,,
,,,,,,,,,
0.366,,0.132,,,,,,,
,,,5.7868,,,,,,
,,,39.15,,,,,,
0.451,,0.456,5.24,,,,,,
0.293,,0.271,,,,,,,
,,,,,,,,,
0.412,,0.415,,,,,,,
0.724,,0.022,,,,,,,
0.462,,0.137,21.99,,,,,,
,,,,,,,,,
,,,3.4882,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,15.27,,,,,,
,,,,,,,,,
,,,8.545,,,,,,
,,,,,,,,,
0.554,,0.331,,,,,,,
,,,,,,,,,
1.457,,0.048,8,,,,,,
,,,,,,,,,
,,,27.2,,,,,,
,,,3.4591,,,,,,
,,,,,,,,,
0.369,,0.471,,,,,,,
1.974,,0.038,42.5,,,,,,
,,,,,,,,,
,,,2.732,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,12.191,,,,,,
,,,,,,,,,
,,,4.677,,,,,,
0.906,,0.031,9.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.418,,0.154,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.890,,0.042,9.929,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.4055,,,,,,
0.459,,0.088,,,,,,,
0.357,,0.084,,,,,,,
0.982,,0.026,,,,,,,
,,,,,,,,,
0.176,,0.143,2.4437,,,,,Q,
0.619,,0.220,42.484,,,,,,
,,,,,,,,,
0.202,,0.212,17.157,,,,,,
,,,4.416,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,7.8,,,,,,
,,,,,,,,,
,,,43.5,,,,,,
,,,,,,,,,
,,,2.633,,,,,,
,,,,,,,,,
0.259,,0.115,9.3205,,,,,,
0.528,,0.431,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.310,,0.039,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.622,,0.012,,,,,,,
2.159,,0.024,,,,,,,
,,,0.61073,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,5.495,,,,,,
,,,,,,,,Sq,
,,,4.103,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,3.842,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.228,,0.071,4.9706,,,,,,
0.695,,0.063,2.0734,,,,,,
,,,,,,,,,
,,,135,,,,,,
0.288,,0.034,,,,,,,
0.228,,0.593,13.719,,,,,,
,,,,,,,,,
0.437,,0.503,66.8,,,,,,
,,,5.721,,,,,,
0.762,,0.025,,,,,,,
,,,,,,,,,
,,,19.15,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
